,cpu_requested,cpu_usage,mem_requested,mem_usage,time
1252,7537.8716017,2945.1421622,6146.59630209,2962.54910104,872403049192
1253,7558.7683977,2976.62210505,6162.10093129,2967.33429314,872484900969
1254,7509.8740967,2939.93448696,6121.82398348,2938.15513461,872557573436
1255,7445.5945307,3106.35506059,6114.56758549,3048.48728621,872856926131
1256,7530.2172457,3178.4827571,6156.98489449,3070.68656649,873008166852
1257,7527.7529207,3178.56859464,6155.35898289,3072.29757932,873017438609
1258,7304.1219511,3233.29199913,5881.01512509,3064.52784699,873279946989
1259,7057.8431671,3065.86966806,5815.49579689,3042.51315221,873481705606
1260,7165.8790061,3074.031903,5892.70570009,3050.17948446,873796599078
1261,7104.5817311,3082.45205467,5909.99460989,3080.83988095,873951579976
1262,7103.7548901,3164.45639423,5858.54107349,3080.2480525,874039232403
1263,7122.9919071,3248.54579214,5888.41143609,3085.2367561,874118618051
1264,7074.9018211,3229.0259831,5847.67018689,3131.5095379,874207113518
1265,7123.4789911,3069.1676217,5885.98752774,3044.7946661,874699929186
1266,7076.4100078,2833.49500113,5836.11371214,3063.76693811,874807174765
1267,7058.3480168,2850.83707666,5816.60307814,3049.9252759,874890943040
1268,7023.1147308,2796.47367909,5733.49945094,2974.56551617,875156264008
1269,6950.1172061,2822.95893065,5668.18007914,2969.13167746,875294326423
1270,7039.1776898,2821.71627355,5752.25921754,2967.13948974,875306324818
1271,7007.5018141,2753.09205501,5701.58537514,2973.60384035,875561799943
1272,7003.5263941,2807.16583549,5733.91067054,2975.30084972,875689313985
1273,7041.7805911,2743.69468705,5687.26810614,2981.34063434,875950040603
1274,7079.5249471,2791.45578949,5676.70383212,2886.68481716,876732739273
1275,6996.7149421,2753.33017125,5628.61526372,2854.28925239,876896098856
1276,7047.9185121,2832.78557746,5655.73908572,2924.66437086,877007892604
1277,7046.4247421,2833.2558822,5655.12661572,2924.46480994,877015047040
1278,7045.0559541,2832.95613745,5654.67015672,2924.26873894,877020543069
1279,7086.0898188,2982.67660052,5688.48515612,2990.54798636,878087262061
1280,6998.9825128,2860.05863437,5624.51929012,2989.75615963,878249728585
1281,7026.8800998,2862.29749549,5637.14870072,2988.42365763,878287431464
1282,7034.6012415,2792.40525771,5748.94599212,2932.61056809,879011692866
1283,7040.9668605,2774.67388664,5750.61504012,2923.2184477,879015755931
1284,6949.8179051,2814.56382972,5657.53853912,2903.31671504,879260545715
1285,6930.4804688,2676.29491036,5529.50057372,2863.49204701,879661609484
1286,6951.5062198,2665.77038368,5521.80356412,2848.50835375,879856054305
1287,6940.5614328,2645.02999397,5505.89228552,2861.32616763,880187370211
1288,7140.7700588,2605.88883148,5831.38297472,2825.98817512,880989786344
1289,7230.7106981,2536.92765217,5722.22551272,2763.67566167,883208229978
1290,7105.1537861,2524.62374664,5641.18900012,2817.40647058,883524318127
1291,7285.6357918,2543.53355055,5874.97266272,2775.7159615,885295793190
1292,6969.4821521,2098.79154556,5520.53309867,2754.91907497,887527591250
1293,6969.3571521,2098.79154556,5520.46949867,2754.91907497,887527592641
1294,7076.3575571,2418.43240347,5840.16753872,2865.61530633,890304099772
1295,7222.1602821,2578.62380379,6010.95713572,2883.8388117,891600403807
1296,7365.3040111,2668.26105781,6008.91268172,2912.06333522,893667630450
1297,6861.0753061,2330.49010444,5340.05500872,2868.7109621,894687349038
1298,6908.2764231,2374.25344123,5362.08916912,2866.1856063,894768462399
1299,6830.6515205,2162.98416728,5262.23397612,2809.12081518,896579933004
1300,6755.6787638,2157.75499649,5235.28957012,2804.12414101,896676978943
1301,7218.2168801,3156.54153528,5981.22231912,3008.43931348,898123942980
1302,7118.1558101,2390.55239065,5745.77314072,3025.32833407,898736742897
1303,7085.8118941,2334.86693572,5696.75925912,2944.8622664,899133729332
1304,7052.1836028,2350.54161062,5648.45188272,2957.13220233,899435114656
1305,7052.8033458,2326.62651563,5639.26550012,2941.42693676,899583544661
1306,6982.8026108,2543.22375486,5647.96514402,2998.30192567,901986817707
1307,6987.6639248,2550.57064767,5653.78527442,2999.73498076,902015500230
1308,6987.5705038,2559.48376603,5653.75777642,3001.32403242,902034057212
1309,7077.5345688,2378.21637707,5686.08017602,2998.20718611,902358531523
1310,7211.2387545,2644.58017665,5613.61205692,2966.55929087,904010210441
1311,7202.2534845,2647.40911203,5606.85317452,2965.37637058,904017735626
1312,6815.5588481,2402.14179729,5133.26934972,2924.79345991,905629704120
1313,6670.6701071,2395.74707969,5017.58971152,2912.25488926,905884158789
1314,6669.1021791,2403.35800068,5003.31324352,2924.74785676,906141939011
1315,6678.6862628,2473.75930574,5122.16804731,2921.99795579,906741414891
1316,6875.4563195,2419.71797991,5036.67491252,2886.02242706,908093719759
1317,6720.2798895,2455.12445818,5023.46934692,2896.34032385,908645173854
1318,7313.2550139,3105.1117136,5647.24349352,3107.06784266,910249582302
1319,7546.3045079,2456.36360944,5692.88349592,3064.92386134,910851053479
1320,7124.6548722,2715.74792615,5341.25378332,2947.15450382,911743454930
1321,7486.1875902,2567.37076444,5532.52223852,2921.43627352,912343427316
1322,7408.0126705,2976.19409687,5505.31684533,3044.29956819,915205269066
1323,6965.8342825,2640.13011514,5098.12994942,2936.49714848,916365653105
1324,7023.1879295,2640.81947718,5126.94133242,2935.63390528,916448423342
1325,7018.5919835,2632.77842547,5128.49476312,2931.00620637,916468774540
1326,6927.9511602,2743.08696008,5102.83137682,2966.53763085,918486307770
1327,6927.9511602,2743.08696008,5102.83137682,2966.53763085,918486308454
1328,6765.7961732,2978.28588811,5045.17240232,3056.02735367,921212243765
1329,6763.4402652,2960.8410789,5120.17477212,3051.64101974,921500192913
1330,6788.4945429,3072.95995766,5120.64237132,3074.84550691,922236996642
1331,6749.7331345,2972.85375429,5096.36452432,3054.68894139,922667436071
1332,6702.3413799,2809.18339669,5010.98201912,3000.70586836,923874006831
1333,6796.2759636,3091.76805122,5457.95377412,3019.18329013,925360782828
1334,6810.3752835,3096.65434215,5228.74384952,3066.89980911,926147035249
1335,6955.0998825,3177.72279654,5280.89580272,3081.13343684,926695216518
1336,6660.2950972,3081.77888048,5107.71193852,3044.42682088,927874469080
1337,6567.0202108,2910.10114317,4902.64665132,2946.49412616,931039142146
1338,6636.0693678,2872.09502858,4996.51410232,2960.89438195,931386054516
1339,6569.7168818,2940.98369665,4942.05993672,2981.05814446,931672779225
1340,6585.7978205,2727.59840095,4888.95186472,2954.27936013,933074708595
1341,6551.2563008,2842.45450103,4957.37444172,2996.82330682,934248533749
1342,6661.4729458,2859.71371478,5252.30210612,2895.63702709,935165388585
1343,6661.5885728,2859.4941188,5252.28121472,2896.17894215,935172037986
1344,6662.1082942,2853.85435462,5229.25296262,2936.37277334,935631280098
1345,6742.5090962,2898.33016567,5232.81709322,2953.76009842,935965840252
1346,6752.6299282,2920.29532078,5272.88596122,2969.15871877,936286569845
1347,6780.6445692,2845.81677394,5264.86463162,2993.41892405,936465611346
1348,6766.3678005,2895.3051817,5038.80700822,3084.04608289,937266862234
1349,6710.9846688,2855.80885444,5047.64661322,3080.41055573,938812566287
1350,6666.1178188,2849.85523868,4996.08770862,3057.083294,939366318433
1351,6581.4400092,2832.6831895,4913.18788622,2935.28909755,940119731479
1352,6575.8412511,2813.13356698,4915.76209032,2965.37219484,940642289495
1353,6592.4824751,2762.21937325,4887.45336232,2944.74408184,941885976218
1354,6601.5143731,2700.92423414,4912.93495532,2962.60817721,942450402048
1355,6648.5182675,2725.33426189,5014.19414732,2923.45407342,944909479515
1356,6615.0970368,2668.30398508,5000.41900282,2972.87541447,945735929455
1357,6614.8251678,2668.2726198,4999.91122482,2972.97853175,945738796705
1358,6679.9688885,2687.98109599,5116.01231462,2969.25631871,947112048420
1359,6695.1922465,2738.84482109,5137.52044362,3013.62909802,947551866028
1360,6695.1853725,2739.05577614,5137.51096522,3013.80241632,947553411556
1361,6712.9839321,2774.80889443,5123.73887082,2994.82650399,948076719984
1362,6658.8435511,2677.15214698,5052.12822382,2947.17020661,948586196743
1363,6733.7104261,2632.83441455,5114.33509882,2927.99850223,948764593292
1364,6719.6968731,2674.09709941,5149.76658362,2946.3306419,948979638419
1365,6725.1525031,2653.14087916,5166.57942882,2970.14188687,949363393307
1366,6830.9924111,2651.70199682,5265.09956982,2969.56643573,949381051801
1367,6860.1895538,2624.11561597,5492.44638762,3036.54955902,950231884554
1368,6618.4845868,2785.08458448,5205.36212282,2925.84491669,951163881997
1369,6725.7890448,2745.90829557,5312.15690982,2907.47910523,951230534658
1370,6653.7420068,2713.64396219,5095.12663322,2689.62077224,952174783827
1371,6773.4622148,2858.69582921,5209.68741122,2745.5749359,952926488024
1372,6897.0934448,2798.70278972,5289.49548982,2839.63915579,953772760276
1373,6831.9117345,2644.28853188,5509.44895482,2818.78660603,956692214283
1374,6853.0721498,2915.47181796,5534.40808522,2894.458723,956816608501
1375,6907.7756525,3017.99075166,5577.65317103,3056.67732949,957676090383
1376,6885.9806005,2951.480475,5550.24373563,3029.17538074,957719365373
1377,6739.7299938,2661.87000482,5280.63151482,2893.62206165,959169611663
1378,6859.2800248,2654.36103161,5339.21321982,2888.83241232,959208183350
1379,6862.4411068,2873.79526925,5324.73189182,2879.59534507,959422783163
1380,6861.7034428,2874.1844248,5322.15924782,2879.52896107,959426188855
1381,6827.0046668,2878.43581919,5310.34604582,2874.79355473,959621281794
1382,6645.8581308,2620.54257763,5014.30842082,2717.4473346,959952750603
1383,6642.4511908,2645.0738146,4995.29987222,2727.12634363,960120221255
1384,6779.5297078,2585.60978816,5156.08391382,2706.2563034,960321630037
1385,6756.2235008,2599.32482499,5112.55461322,2697.1475581,960544273021
1386,6634.3694595,2403.57288973,5029.47603362,2804.22863511,961201822603
1387,6623.8428405,2399.75224154,5027.74213082,2804.25958654,961334594838
1388,6623.8312172,2410.52448756,5027.54992122,2800.38599834,961411950974
1389,6623.1431722,2406.6387462,5026.08826322,2796.1584005,961432179372
1390,6748.5039685,2453.86694168,5085.02713082,2808.09924146,961645907076
1391,6748.1340425,2460.61538643,5084.49951262,2811.06625024,961667020571
1392,6741.1094748,2494.82875186,5081.64944282,2810.47469223,961783184470
1393,6583.6866418,2527.78468388,4970.50719682,2823.39263915,961859622475
1394,6574.6499628,2528.6166741,4964.74451462,2822.18177678,961886451888
1395,6568.1324528,2533.00175061,4961.22710802,2822.27373383,961915564609
1396,6632.0364838,2530.97185387,5025.63352182,2821.19363523,961968523063
